"","mRNAselected_values","ENSG"
"MMRF_2469","16.6218","2469"
"MMRF_2728","10.9523","2728"
"MMRF_1967","22.7093","1967"
"MMRF_1436","11.7724","1436"
"MMRF_2125","18.1326","2125"
"MMRF_2514","13.5726","2514"
"MMRF_2316","14.8022","2316"
"MMRF_1159","6.9315","1159"
"MMRF_2634","18.5607","2634"
"MMRF_2180","23.5207","2180"
"MMRF_1210","19.2172","1210"
"MMRF_2614","15.7018","2614"
"MMRF_2240","15.5287","2240"
"MMRF_2017","9.3006","2017"
"MMRF_2017","10.3265","2017"
"MMRF_2168","13.8345","2168"
"MMRF_1838","17.1022","1838"
"MMRF_1513","12.1792","1513"
"MMRF_2267","15.7795","2267"
"MMRF_1494","10.0711","1494"
"MMRF_1950","21.927","1950"
"MMRF_1395","8.6456","1395"
"MMRF_1952","14.9537","1952"
"MMRF_2700","14.3318","2700"
"MMRF_2568","33.7994","2568"
"MMRF_1923","10.2558","1923"
"MMRF_1971","11.5939","1971"
"MMRF_2056","17.4118","2056"
"MMRF_2006","11.2513","2006"
"MMRF_2272","14.0171","2272"
"MMRF_2149","27.37","2149"
"MMRF_1837","16.9521","1837"
"MMRF_1541","17.9711","1541"
"MMRF_2847","8.4151","2847"
"MMRF_1682","10.1654","1682"
"MMRF_1312","14.2686","1312"
"MMRF_2461","10.8332","2461"
"MMRF_1506","8.912","1506"
"MMRF_2501","13.3037","2501"
"MMRF_1426","11.8731","1426"
"MMRF_2377","11.8261","2377"
"MMRF_2012","10.9112","2012"
"MMRF_2778","17.2589","2778"
"MMRF_1195","14.6121","1195"
"MMRF_2055","9.1544","2055"
"MMRF_1061","16.2958","1061"
"MMRF_1274","19.3767","1274"
"MMRF_2695","12.2849","2695"
"MMRF_2817","12.3975","2817"
"MMRF_2757","9.3823","2757"
"MMRF_1452","10.9919","1452"
"MMRF_1295","14.1444","1295"
"MMRF_1694","14.7104","1694"
"MMRF_1694","12.9811","1694"
"MMRF_1605","16.2828","1605"
"MMRF_1787","13.0824","1787"
"MMRF_1533","13.4086","1533"
"MMRF_1750","13.2769","1750"
"MMRF_2313","12.4557","2313"
"MMRF_2394","21.6556","2394"
"MMRF_2201","13.9312","2201"
"MMRF_1310","13.3757","1310"
"MMRF_1178","11.573","1178"
"MMRF_2692","16.1044","2692"
"MMRF_2412","12.8269","2412"
"MMRF_2631","14.3988","2631"
"MMRF_2848","5.1316","2848"
"MMRF_2297","14.1471","2297"
"MMRF_2516","12.1677","2516"
"MMRF_1110","21.4108","1110"
"MMRF_1944","23.5906","1944"
"MMRF_2498","14.7127","2498"
"MMRF_1598","13.9038","1598"
"MMRF_2734","18.579","2734"
"MMRF_2729","15.1086","2729"
"MMRF_1522","18.2031","1522"
"MMRF_2651","11.302","2651"
"MMRF_2779","12.0085","2779"
"MMRF_2107","15.6533","2107"
"MMRF_2364","15.4498","2364"
"MMRF_1169","8.1566","1169"
"MMRF_2269","19.216","2269"
"MMRF_2781","11.2174","2781"
"MMRF_2330","14.6078","2330"
"MMRF_1300","11.8","1300"
"MMRF_2550","16.421","2550"
"MMRF_2628","5.5898","2628"
"MMRF_2126","12.2143","2126"
"MMRF_2126","15.8926","2126"
"MMRF_2541","15.8875","2541"
"MMRF_2543","28.3471","2543"
"MMRF_2506","14.7295","2506"
"MMRF_2751","25.0691","2751"
"MMRF_1293","17.748","1293"
"MMRF_1293","16.1747","1293"
"MMRF_1686","10.6664","1686"
"MMRF_1686","13.7413","1686"
"MMRF_2539","6.8908","2539"
"MMRF_1107","9.7258","1107"
"MMRF_2113","11.017","2113"
"MMRF_2698","14.5164","2698"
"MMRF_2526","10.9471","2526"
"MMRF_1891","11.9532","1891"
"MMRF_2268","15.5111","2268"
"MMRF_1032","21.428","1032"
"MMRF_1985","25.8814","1985"
"MMRF_1489","21.6803","1489"
"MMRF_2581","12.6839","2581"
"MMRF_1519","15.5143","1519"
"MMRF_1167","13.2294","1167"
"MMRF_1229","8.6108","1229"
"MMRF_1229","10.4871","1229"
"MMRF_1229","11.2477","1229"
"MMRF_1744","11.5248","1744"
"MMRF_1152","11.6636","1152"
"MMRF_2279","13.6178","2279"
"MMRF_1910","18.2932","1910"
"MMRF_1352","15.0429","1352"
"MMRF_1603","14.7948","1603"
"MMRF_2667","14.892","2667"
"MMRF_2696","17.6657","2696"
"MMRF_2705","15.595","2705"
"MMRF_2140","15.0671","2140"
"MMRF_2681","13.3255","2681"
"MMRF_2216","13.807","2216"
"MMRF_2475","12.2606","2475"
"MMRF_2774","25.435","2774"
"MMRF_2035","15.167","2035"
"MMRF_1100","14.3912","1100"
"MMRF_1805","13.1573","1805"
"MMRF_1583","13.8135","1583"
"MMRF_1251","17.383","1251"
"MMRF_1941","6.4519","1941"
"MMRF_2564","12.7669","2564"
"MMRF_1727","10.1719","1727"
"MMRF_2599","14.2388","2599"
"MMRF_2339","11.3064","2339"
"MMRF_2636","12.4751","2636"
"MMRF_1386","12.6598","1386"
"MMRF_1854","11.2188","1854"
"MMRF_2851","10.1087","2851"
"MMRF_2331","16.631","2331"
"MMRF_1523","9.794","1523"
"MMRF_2399","10.0409","2399"
"MMRF_2317","19.775","2317"
"MMRF_2572","13.7337","2572"
"MMRF_2300","14.923","2300"
"MMRF_2754","15.4575","2754"
"MMRF_1077","15.8095","1077"
"MMRF_1815","17.7705","1815"
"MMRF_2750","15.6252","2750"
"MMRF_2478","12.9483","2478"
"MMRF_2538","14.0818","2538"
"MMRF_2716","11.7547","2716"
"MMRF_1565","18.0497","1565"
"MMRF_1193","5.6517","1193"
"MMRF_1193","13.5345","1193"
"MMRF_2080","15.2807","2080"
"MMRF_1164","10.4398","1164"
"MMRF_2305","13.5134","2305"
"MMRF_1445","21.0256","1445"
"MMRF_1890","15.5554","1890"
"MMRF_2745","19.4999","2745"
"MMRF_2677","28.2393","2677"
"MMRF_1349","17.8017","1349"
"MMRF_1179","13.2092","1179"
"MMRF_1179","15.624","1179"
"MMRF_1678","20.2011","1678"
"MMRF_2523","11.4157","2523"
"MMRF_2664","20.1151","2664"
"MMRF_2151","19.3364","2151"
"MMRF_2826","9.9236","2826"
"MMRF_2828","20.3033","2828"
"MMRF_2689","14.2773","2689"
"MMRF_2818","17.3855","2818"
"MMRF_2122","11.0034","2122"
"MMRF_2122","9.9784","2122"
"MMRF_2680","21.9895","2680"
"MMRF_1917","7.1116","1917"
"MMRF_1383","17.2702","1383"
"MMRF_2732","9.6783","2732"
"MMRF_1597","13.5478","1597"
"MMRF_1080","15.6824","1080"
"MMRF_1189","14.3404","1189"
"MMRF_2291","15.4726","2291"
"MMRF_2769","14.0371","2769"
"MMRF_2678","16.3565","2678"
"MMRF_1755","18.047","1755"
"MMRF_1793","14.3906","1793"
"MMRF_2176","17.0873","2176"
"MMRF_1560","10.915","1560"
"MMRF_2115","21.9713","2115"
"MMRF_2079","15.4002","2079"
"MMRF_2606","14.2602","2606"
"MMRF_2507","5.8337","2507"
"MMRF_1284","11.5236","1284"
"MMRF_1284","12.2994","1284"
"MMRF_2258","10.28","2258"
"MMRF_1886","25.7453","1886"
"MMRF_2464","20.3596","2464"
"MMRF_2238","20.276","2238"
"MMRF_2286","14.5299","2286"
"MMRF_1151","12.9543","1151"
"MMRF_2438","10.9685","2438"
"MMRF_1768","8.2976","1768"
"MMRF_2085","15.2451","2085"
"MMRF_2820","20.5037","2820"
"MMRF_2301","15.3014","2301"
"MMRF_2795","22.7514","2795"
"MMRF_1082","12.3562","1082"
"MMRF_1860","10.0753","1860"
"MMRF_2445","20.0252","2445"
"MMRF_2519","28.094","2519"
"MMRF_1267","14.5977","1267"
"MMRF_1361","18.326","1361"
"MMRF_2597","13.1195","2597"
"MMRF_1407","9.7558","1407"
"MMRF_2822","13.5346","2822"
"MMRF_1212","21.5228","1212"
"MMRF_2574","16.342","2574"
"MMRF_2505","17.8906","2505"
"MMRF_2776","16.3519","2776"
"MMRF_2141","18.7913","2141"
"MMRF_1432","13.2747","1432"
"MMRF_2001","10.6515","2001"
"MMRF_2211","16.9644","2211"
"MMRF_1099","21.9265","1099"
"MMRF_2050","20.6456","2050"
"MMRF_2827","24.8981","2827"
"MMRF_1862","11.29","1862"
"MMRF_2702","17.782","2702"
"MMRF_1735","20.5228","1735"
"MMRF_2245","16.8349","2245"
"MMRF_1861","14.6325","1861"
"MMRF_2437","13.5133","2437"
"MMRF_1588","16.2615","1588"
"MMRF_2455","20.446","2455"
"MMRF_1256","20.5621","1256"
"MMRF_1211","10.4393","1211"
"MMRF_2557","11.7312","2557"
"MMRF_2409","14.5324","2409"
"MMRF_2471","8.1005","2471"
"MMRF_2204","17.6886","2204"
"MMRF_2694","18.9778","2694"
"MMRF_1403","9.3961","1403"
"MMRF_2047","10.6631","2047"
"MMRF_1671","12.9642","1671"
"MMRF_1671","15.7447","1671"
"MMRF_2719","17.4391","2719"
"MMRF_1393","18.919","1393"
"MMRF_1906","15.0198","1906"
"MMRF_1205","11.8985","1205"
"MMRF_2220","15.0498","2220"
"MMRF_1982","11.7184","1982"
"MMRF_1766","10.053","1766"
"MMRF_1738","7.6435","1738"
"MMRF_1645","12.5026","1645"
"MMRF_1470","11.5494","1470"
"MMRF_1180","5.6797","1180"
"MMRF_1928","17.7518","1928"
"MMRF_1415","16.3464","1415"
"MMRF_2413","9.0366","2413"
"MMRF_2562","8.5386","2562"
"MMRF_2083","8.921","2083"
"MMRF_2083","12.6824","2083"
"MMRF_1823","31.7239","1823"
"MMRF_1991","11.6852","1991"
"MMRF_2525","11.2795","2525"
"MMRF_2336","20.4956","2336"
"MMRF_1389","11.5115","1389"
"MMRF_1342","17.1166","1342"
"MMRF_1108","17.4849","1108"
"MMRF_2335","14.3015","2335"
"MMRF_1460","21.216","1460"
"MMRF_2174","13.107","2174"
"MMRF_1677","11.6198","1677"
"MMRF_1391","16.5053","1391"
"MMRF_2853","6.7466","2853"
"MMRF_2015","15.4341","2015"
"MMRF_2015","36.2467","2015"
